Hour of the year,Hour of the day,Tamb,A_Tz1,A_Tz2,A_Tz3,A_Tz4,B_Tz1,B_Tz2,B_Tz3,B_Tz4,C_Tz1,C_Tz2,C_Tz3,C_Tz4,T_aoA,T_aoB,T_aoC,T_woA,T_woB,T_woC,T_t,T_chiller,A_Uz1,A_Uz2,A_Uz3,A_Uz4,B_Uz1,B_Uz2,B_Uz3,B_Uz4,C_Uz1,C_Uz2,C_Uz3,C_Uz4,u_t,AA_Tz1,AA_Tz2,AA_Tz3,AA_Tz4,BB_Tz1,BB_Tz2,BB_Tz3,BB_Tz4,CC_Tz1,CC_Tz2,CC_Tz3,CC_Tz4,Tao,Tt,T_chiller,AAA_z1,AAA_z2,AAA_z3,AAA_z4,BBB_z1,BBB_z2,BBB_z3,BBB_z4,CCC_z1,CCC_z2,CCC_z3,CCC_z4,Total power usage,Label
5094.791,6.791,28.227,20.197,21.169,18.528,20.274,21.746,20.358,20.229,19.395,20.151,21.177,20.157,18.439,12.999,12.169,12.164,13.168,13.37,13.36,10.898,8.999,0.214,0.24,0.342,0.218,0,0.287,0.202,0.244,0.223,0.226,0.223,0.29,0.052,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.166,-0.074,-0.379,0.363,0.038,-0.133,-0.174,0.283,-0.174,-0.057,-0.184,0.143,602564.9294,0
5094.806,6.806,28.239,20.061,21.085,18.457,20.206,22.614,20.271,19.972,19.325,19.993,21.086,19.978,18.385,12.996,12.201,12.192,13.197,13.396,13.38,10.928,8.996,0.2,0.222,0.328,0.21,0.011,0.269,0.195,0.236,0.154,0.205,0.154,0.284,0.048,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.181,-0.083,-0.387,0.358,0.15,-0.142,-0.206,0.277,-0.193,-0.067,-0.208,0.139,554338.7444,0
5094.821,6.821,28.251,20.185,21.182,18.544,20.272,22.274,20.369,20.122,19.392,20.316,21.201,20.305,18.448,13.009,12.212,12.204,13.203,13.404,13.388,10.986,9.008,0.159,0.197,0.308,0.19,0.273,0.244,0.117,0.216,0.107,0.178,0.1,0.269,0.049,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.173,-0.079,-0.384,0.359,0.099,-0.138,-0.194,0.278,-0.157,-0.06,-0.171,0.139,562766.6021,0
5094.836,6.836,28.263,20.155,21.12,18.468,20.195,21.22,20.303,20.2,19.312,20.27,21.143,20.282,18.361,12.994,12.143,12.141,13.132,13.334,13.328,10.863,8.993,0.197,0.227,0.336,0.211,0.172,0.274,0.163,0.237,0.204,0.213,0.199,0.289,0.052,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.169,-0.077,-0.384,0.359,-0.025,-0.136,-0.174,0.277,-0.154,-0.057,-0.163,0.137,598766.8626,0
5094.851,6.851,28.275,20.087,21.087,18.437,20.176,21.521,20.267,20.08,19.291,20.005,21.096,20.009,18.338,12.989,12.202,12.197,13.193,13.381,13.372,10.919,8.989,0.189,0.209,0.314,0.188,0,0.255,0.187,0.214,0.192,0.196,0.193,0.264,0.046,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.174,-0.078,-0.385,0.359,0.015,-0.138,-0.187,0.277,-0.187,-0.061,-0.198,0.137,538247.8916,0
5094.866,6.866,28.287,20.273,21.276,18.622,20.364,22.621,20.46,20.191,19.48,20.261,21.291,20.243,18.521,13.018,12.222,12.215,13.203,13.405,13.39,11.046,9.017,0.169,0.199,0.306,0.183,0,0.245,0.151,0.208,0.112,0.182,0.111,0.258,0.049,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.167,-0.072,-0.379,0.363,0.138,-0.131,-0.191,0.282,-0.169,-0.053,-0.185,0.142,551100.3909,0
5094.881,6.881,28.299,20.124,21.133,18.484,20.234,22.179,20.31,20.081,19.348,20.258,21.14,20.251,18.4,13.001,12.112,12.106,13.087,13.299,13.288,10.861,9,0.226,0.257,0.364,0.241,0.276,0.304,0.185,0.267,0.19,0.241,0.182,0.314,0.055,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.176,-0.08,-0.386,0.359,0.093,-0.14,-0.194,0.278,-0.159,-0.062,-0.172,0.138,637861.3954,0
5094.896,6.896,28.31,20.061,21.078,18.441,20.191,21.317,20.252,20.078,19.301,20.095,21.074,20.108,18.365,13.004,12.196,12.192,13.177,13.367,13.359,10.985,9.004,0.182,0.214,0.324,0.203,0.144,0.26,0.152,0.228,0.189,0.197,0.185,0.279,0.046,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.188,-0.089,-0.395,0.353,-0.02,-0.15,-0.197,0.27,-0.185,-0.074,-0.194,0.132,540464.9083,0
5094.91,6.91,28.322,20.131,21.102,18.45,20.182,21.704,20.277,20.13,19.293,20.077,21.118,20.077,18.344,12.997,12.142,12.136,13.111,13.315,13.305,10.891,8.997,0.163,0.198,0.312,0.19,0,0.244,0.151,0.215,0.141,0.177,0.142,0.27,0.052,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.173,-0.081,-0.389,0.356,0.034,-0.142,-0.185,0.273,-0.182,-0.063,-0.194,0.134,574074.3702,0
5094.925,6.925,28.334,20.176,21.139,18.465,20.2,22.618,20.313,20.122,19.31,20.234,21.169,20.215,18.346,12.992,12.178,12.171,13.145,13.347,13.332,10.917,8.992,0.185,0.205,0.316,0.188,0,0.252,0.167,0.213,0.136,0.191,0.133,0.265,0.047,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.163,-0.073,-0.383,0.36,0.155,-0.133,-0.183,0.278,-0.155,-0.052,-0.171,0.137,540134.278,0
5094.94,6.94,28.346,20.184,21.202,18.527,20.281,22.295,20.376,20.148,19.392,20.295,21.218,20.292,18.428,13.003,12.187,12.18,13.153,13.352,13.338,10.969,9.002,0.199,0.217,0.322,0.194,0.276,0.264,0.165,0.219,0.183,0.206,0.175,0.266,0.048,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.169,-0.072,-0.381,0.363,0.107,-0.132,-0.186,0.281,-0.154,-0.053,-0.167,0.14,574328.2209,0
5094.955,6.955,28.358,20.169,21.213,18.554,20.32,21.325,20.383,20.17,19.429,20.153,21.207,20.165,18.478,13.016,12.158,12.154,13.121,13.321,13.313,10.993,9.015,0.202,0.236,0.342,0.219,0.18,0.284,0.174,0.245,0.203,0.222,0.199,0.292,0.051,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.181,-0.079,-0.387,0.36,-0.026,-0.14,-0.192,0.278,-0.185,-0.063,-0.194,0.139,597128.6167,0
